表2 2019年2月7天的功率预测结果,,,,,
起报时间,预报时间,实际功率(MW),问题二LSTM方法预测功率(MW),问题三未降尺度LSTM+XGBoost方法预测功率(MW),问题四降尺度LSTM+XGBoost方法预测功率(MW)
2019/02/23/00:00,2019/02/24/06:30,28,35.65,35.96,32.45
2019/02/23/00:00,2019/02/24/06:45,36,38.52,45.2,42.26
2019/02/23/00:00,2019/02/24/07:00,52,44.95,52.06,47.18
2019/02/23/00:00,2019/02/24/07:15,64,63.52,67.77,62.47
2019/02/23/00:00,2019/02/24/07:30,80,77.78,86.56,79.28
2019/02/23/00:00,2019/02/24/07:45,96,94.88,103.09,94.73
2019/02/23/00:00,2019/02/24/08:00,104,111.68,121.57,114.52
2019/02/23/00:00,2019/02/24/08:15,116,116.68,126.16,122.79
2019/02/23/00:00,2019/02/24/08:30,124,126.69,126.55,124.68
2019/02/23/00:00,2019/02/24/08:45,136,133.3,134.9,134.28
2019/02/23/00:00,2019/02/24/09:00,160,145.62,145.71,142.23
2019/02/23/00:00,2019/02/24/09:15,180,175.45,183.01,170.82
2019/02/23/00:00,2019/02/24/09:30,204,198.04,226.75,204.99
2019/02/23/00:00,2019/02/24/09:45,228,222.58,255.61,225.48
2019/02/23/00:00,2019/02/24/10:00,256,246.36,280.63,253.74
2019/02/23/00:00,2019/02/24/10:15,284,275.07,307.15,281.43
2019/02/23/00:00,2019/02/24/10:30,312,302.91,336.55,310.89
2019/02/23/00:00,2019/02/24/10:45,340,329.52,365.23,338.03
2019/02/23/00:00,2019/02/24/11:00,340,355.9,385.51,364.67
2019/02/23/00:00,2019/02/24/11:15,340,340.47,381.9,351.42
2019/02/23/00:00,2019/02/24/11:30,340,332.55,361.42,325.66
2019/02/23/00:00,2019/02/24/11:45,340,332.89,365.02,335.38
2019/02/23/00:00,2019/02/24/12:00,332,333.48,372.03,343.89
2019/02/23/00:00,2019/02/24/12:15,324,321.43,355.26,332.27
2019/02/23/00:00,2019/02/24/12:30,316,311.21,331.91,317.41
2019/02/23/00:00,2019/02/24/12:45,308,302.99,323.61,308.41
2019/02/23/00:00,2019/02/24/13:00,300,294.7,316.24,301.37
2019/02/23/00:00,2019/02/24/13:15,288,286.15,304.19,292.64
2019/02/23/00:00,2019/02/24/13:30,276,271.84,292.89,274.06
2019/02/23/00:00,2019/02/24/13:45,264,258.27,270.9,257.4
2019/02/23/00:00,2019/02/24/14:00,240,245.83,263.56,246.49
2019/02/23/00:00,2019/02/24/14:15,212,217.08,234.09,223.29
2019/02/23/00:00,2019/02/24/14:30,184,184.49,197.48,182.26
2019/02/23/00:00,2019/02/24/14:45,160,155.5,172.71,154.19
2019/02/23/00:00,2019/02/24/15:00,132,133.68,151.68,134.17
2019/02/23/00:00,2019/02/24/15:15,108,106.96,117.7,112.64
2019/02/23/00:00,2019/02/24/15:30,80,84.46,88.43,86.28
2019/02/23/00:00,2019/02/24/15:45,56,57.61,63.71,59.19
2019/02/23/00:00,2019/02/24/16:00,44,34.99,41.5,38.82
2019/02/23/00:00,2019/02/24/16:15,32,27.46,32.15,28.97
2019/02/23/00:00,2019/02/24/16:30,24,20.82,30.14,22.54
2019/02/23/00:00,2019/02/24/16:45,12,16.29,21.81,17.87
2019/02/23/00:00,2019/02/24/17:00,12,5.93,11.85,5.54
2019/02/23/00:00,2019/02/24/17:15,8,7.11,10.59,4.04
2019/02/23/00:00,2019/02/24/17:30,8,5.9,8.7,4.83
2019/02/23/00:00,2019/02/24/17:45,8,7.05,9.28,7.48
2019/02/23/00:00,2019/02/24/18:00,0,8.07,7.54,8.85
2019/02/23/00:00,2019/02/24/18:15,0,-0.38,2.02,2.08
2019/02/23/00:00,2019/02/24/18:30,0,-2.18,0.8,0
2019/02/23/00:00,2019/02/24/18:45,0,-1.34,0.06,0.35
2019/02/23/00:00,2019/02/24/19:00,0,-0.26,0.06,0.35
2019/02/23/00:00,2019/02/24/19:15,0,0.27,0.14,0.45
2019/02/23/00:00,2019/02/24/19:30,0,0.32,0.09,0.14
2019/02/23/00:00,2019/02/24/19:45,0,0.17,0.09,0.33
2019/02/23/00:00,2019/02/24/20:00,0,0.01,0.09,0.2
2019/02/23/00:00,2019/02/24/20:15,0,-0.11,0.09,0.24
2019/02/23/00:00,2019/02/24/20:30,0,-0.17,0.09,0.07
2019/02/23/00:00,2019/02/24/20:45,0,-0.21,0.09,0.02
2019/02/23/00:00,2019/02/24/21:00,0,-0.22,0.09,0.02
2019/02/23/00:00,2019/02/24/21:15,0,-0.22,0.09,0.02
2019/02/23/00:00,2019/02/24/21:30,0,-0.21,0.06,0.04
2019/02/23/00:00,2019/02/24/21:45,0,-0.19,0.06,0.02
2019/02/23/00:00,2019/02/24/22:00,0,-0.15,0.06,0.02
2019/02/23/00:00,2019/02/24/22:15,0,-0.1,0.06,0.02
2019/02/23/00:00,2019/02/24/22:30,0,-0.04,0.06,0.06
2019/02/23/00:00,2019/02/24/22:45,0,0.02,0.06,0.31
2019/02/23/00:00,2019/02/24/23:00,0,0.09,0.06,0.31
2019/02/23/00:00,2019/02/24/23:15,0,0.17,0.09,0.17
2019/02/23/00:00,2019/02/24/23:30,0,0.24,0.09,0.37
2019/02/23/00:00,2019/02/24/23:45,0,0.32,0.09,0.15
2019/02/24/00:00,2019/02/25/00:00,0,0.41,0.09,0.15
2019/02/24/00:00,2019/02/25/00:15,0,0.49,0.09,0.15
2019/02/24/00:00,2019/02/25/00:30,0,0.58,0.09,0.09
2019/02/24/00:00,2019/02/25/00:45,0,0.67,0.09,0.09
2019/02/24/00:00,2019/02/25/01:00,0,0.77,0.06,0.14
2019/02/24/00:00,2019/02/25/01:15,0,0.88,0.06,0.14
2019/02/24/00:00,2019/02/25/01:30,0,0.99,0.06,0.14
2019/02/24/00:00,2019/02/25/01:45,0,1.11,0.06,0.14
2019/02/24/00:00,2019/02/25/02:00,0,1.23,0.06,0.25
2019/02/24/00:00,2019/02/25/02:15,0,1.37,0.06,0.07
2019/02/24/00:00,2019/02/25/02:30,0,1.52,0.09,0.07
2019/02/24/00:00,2019/02/25/02:45,0,1.67,0.09,0.07
2019/02/24/00:00,2019/02/25/03:00,0,1.84,0.09,0.07
2019/02/24/00:00,2019/02/25/03:15,0,2.02,0.09,0.02
2019/02/24/00:00,2019/02/25/03:30,0,2.21,0.09,0.02
2019/02/24/00:00,2019/02/25/03:45,0,2.41,0.09,0.02
2019/02/24/00:00,2019/02/25/04:00,0,2.62,0.09,0.02
2019/02/24/00:00,2019/02/25/04:15,0,2.83,1.05,0.05
2019/02/24/00:00,2019/02/25/04:30,0,3.06,1.05,0.22
2019/02/24/00:00,2019/02/25/04:45,0,3.29,1.05,0.56
2019/02/24/00:00,2019/02/25/05:00,0,3.52,1.26,0.61
2019/02/24/00:00,2019/02/25/05:15,0,3.76,1.82,0.83
2019/02/24/00:00,2019/02/25/05:30,0,3.99,12.25,3.11
2019/02/24/00:00,2019/02/25/05:45,0,4.22,12.44,3.31
2019/02/24/00:00,2019/02/25/06:00,20,4.45,11.81,2.95
2019/02/24/00:00,2019/02/25/06:15,24,30.98,45.76,31.41
2019/02/24/00:00,2019/02/25/06:30,32,38.38,66.28,36.59
2019/02/24/00:00,2019/02/25/06:45,40,44.89,84.44,46.89
2019/02/24/00:00,2019/02/25/07:00,56,52.12,100.51,52.41
2019/02/24/00:00,2019/02/25/07:15,72,70.99,115.29,67.07
2019/02/24/00:00,2019/02/25/07:30,88,90.25,129.21,89.16
2019/02/24/00:00,2019/02/25/07:45,104,107.23,147.84,107.75
2019/02/24/00:00,2019/02/25/08:00,112,122.88,168.32,121.18
2019/02/24/00:00,2019/02/25/08:15,120,126.66,173.36,129.04
